id,type,category,categoryName,title,cover,bilibiliSrc,audioSrc,episodeDate,duration,desc,activity,credits
11,video,campus,校园传媒,2026年度苏中好声音十佳歌手决赛节目《Language》,covers/90c45eb55013a26fe70d602217373325ec61a1ce.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116675219296199&bvid=BV1rA5F63EXK&cid=38777915366&p=1,,2026年06月01日,3:28,,,
12,video,campus,校园传媒,2026年度苏中好声音决赛即将举行！！！决赛前的预热采访~,covers/fd6bd6088b345802e2b85c61e335cf6cf94d07b5.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116669615702688&bvid=BV14JVQ6tEBu&cid=38750916116&p=1,,2026年05月31日,4:07,,,
13,video,original,原创作品,【玉兰白】2027届11班节目单品 | 2026苏州中学校园原创歌曲大赛,covers/2f4b22c9d7607173d6c8c03fd3aa130ee9c07bc1.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116636010942345&bvid=BV1WCGd6eESm&cid=38610339671&p=1,,2026年05月25日,3:04,,,
14,video,original,原创作品,【追】2027届8班节目单品 | 2026苏州中学校园原创歌曲大赛,covers/46bdc438518dcff3ab6a00d42cbec6c940256ade.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116398076464037&bvid=BV1iyQhB5E7s&cid=37449498831&p=1,,2026年04月13日,3:06,,,
15,video,original,原创作品,2027届2班节目单品 | 2026苏州中学校园原创歌曲大赛,covers/4453e95b2154af79f150948e4a4757f13c57a5eb.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116386852569734&bvid=BV1SeDyBvEnH&cid=37425057345&p=1,,2026年04月11日,2:59,,,
16,video,campus,校园传媒,【宅舞】Liellaの《START!! True dreams》翻跳 | 2026.1.5苏中午间音乐会,covers/3f42cadb34e284bc796af7db04b68cc9decaa3a2.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116141016023201&bvid=BV16qA2zsEPd&cid=36320445796&p=1,,2026年02月27日,4:04,策划：@A-Lise宅舞社,,
17,video,original,原创作品,【树莓拜年】2026丙午马年树莓拜年纪暨年度总结,covers/20f97ae2cd748bd66a314b1c953badbffb125112.jpg,//player.bilibili.com/player.html?isOutside=true&aid=116081121298122&bvid=BV1yvZMBCEZB&cid=36108960206&p=1,,2026年02月17日,4:56,社长新年祝福：当时光的车轮驶过不凡的岁月，我们共同在挑战中寻求突破，在变局中开创新局。回首过去，每一次披荆斩棘都凝聚着汗水与智慧。感谢每一位伙伴的信任与坚守，让我们在风雨中依然步履坚实。站在新的起跑线上，愿我们继续保持向阳生长的勇气，既有乱云飞渡仍从容的定力，也有无限风光在险峰的闯劲。让我们携手并肩，把过往的沉淀化为前行的动力，在新的征途上共绘宏图，同谱华章。,,
18,video,campus,校园传媒,【宅舞】☆μ's《START:DASH!!》翻跳☆ | 2026.1.5 苏中午间音乐会,covers/7e5add6a5ac9a95b1ad7c7151a27cc31597efaea.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115990440446746&bvid=BV1ZU6JBQEPx&cid=35738813117&p=1,,2026年01月31日,3:06,策划：@A-Lise宅舞社,,
19,video,campus,校园传媒,【Kpop 舞蹈】| Aespa《Thirsty》翻跳 | 2026.1.5 苏中午间音乐会・高中生校园舞台,covers/146dcceddd8dd66b3e6a0dad384e94b40bd33bd3.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115984635659520&bvid=BV1Yv6zBPEw6&cid=35714763355&p=1,,2026年01月30日,3:13,策划：@A-Lise宅舞社,,
20,video,campus,校园传媒,【宅舞】快乐合成器！♬ ☆ハッピーシンセサイザ☆ | 2026.1.5苏中午间音乐会,covers/b68d67c604de51e08e5761f35a53bd71969031d1.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115945477571638&bvid=BV1bEzuBzEWW&cid=35571893436&p=1,,2026年01月24日,2:19,策划：@A-Lise宅舞社,,
21,video,campus,校园传媒,【树莓独家】苏中刘主任元旦晚会尊巴舞,covers/413a133205ebc2cbaf90d17b90431f75bb6b7eef.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115858537975764&bvid=BV1EQiQBKEM6&cid=35260010302&p=1,,2026年01月08日,0:53,,,
